name,workspace,path,tags,version,description
@nan0web/release,packages,packages/release,,1.0.3,Project Management as Code; Git-Native; GPG-Signed; Test-Driven
@nan0web/html,packages,packages/rss,nano;nan0;nan0web;mail;email;node,1.0.0,HTML transformers and utilities.
@nan0web/store,packages,packages/store,,1.0.0,Global App Store & Registry for NaN0Web ecosystem
@nan0web/sync,packages,packages/sync,,1.0.5,High-performance site synchronization engine with remote manifests and atomic locks.
@nan0web/telemetry,packages,packages/telemetry,telemetry;observability;metrics;database;monitoring,0.1.0,Observability layer for nan0web ecosystem. Collects; aggregates; and reports metrics from @nan0web/db.
@nan0web/test,packages,packages/test,fetch;mock;testing;http;utility,1.1.3,A test package with simple utilities for testing in node.js runtime
@nan0web/transformer,packages,packages/transformer,ui;nanoweb,1.0.0,Basic and agnostic transformer.
@nan0web/types,packages,packages/types,nan0;data;types;utilities;object;array;validation;format;parser,1.7.2,Universal system for managing data structures and types in JavaScript applications based on the nan0 philosophy where zero represents the universe.
@nan0web/ui,packages,packages/ui,ui;nanoweb,1.11.0,NaN•Web UI. One application logic (algorithm) and many UI.
@nan0web/ui-chat,packages,packages/ui-chat,,1.0.0,Conversation Visualization Adapter — OLMUI
@nan0web/ui-cli,packages,packages/ui-cli,ui;cli;input;adapter,2.12.3,NaN•Web UI CLI. Command line interface for One application logic (algorithm) and many UI.
@nan0web/ui-core,packages,packages/ui-core,ui;nan0web,1.0.0,Core UI for NaN•Web
@nan0web/ui-lit,packages,packages/ui-lit,web-components;lit;ui-kit;design-system;olmui;zero-dependency;data-driven;shadow-dom;custom-elements;nan0web,1.1.0,Universal Web Components UI Kit on Lit — zero-dependency; data-driven; OLMUI-ready
@nan0web/ui-llm,packages,packages/ui-llm,llm;chat;ai;session;streaming;cerebras;openai;huggingface;driver;protocol,1.0.1,LLM Protocol layer for NaN•Web — Sessions; Drivers; Models; Streaming. One Logic — Many UI.
@nan0web/ui-react,packages,packages/ui-react,react;components;ssg;ssr;nan0web,1.2.0,React UI components for nan0web with SSG and SSR support
@nan0web/ui-react-bootstrap,packages,packages/ui-react-bootstrap,ui;react;bootstrap;declarative;theme;scss;yaml,0.2.4,Bootstrap integration for @nan0web/ui-react – declarative UI with React Bootstrap components and themes.
@nan0web/ui-robo,packages,packages/ui-robo,,1.0.0,Robotics Action Verification Adapter — OLMUI
@nan0web/ui-voice,packages,packages/ui-voice,,1.0.0,Voice Prompt Verification Adapter — OLMUI
@nan0web/verse,packages,packages/verse,verse;nan0web;fundamental,1.0.0,I•We•Meta•Uni•Verse - the source of verse classes and algorithms.
@nan0web/xml,packages,packages/xml,nano;nan0;nan0web;xml;transformer,1.1.0,A tiny XML encoder and decoder.
